date;EBEV_GWh;Dadj_GWh
21/07/2010;0.000101;0.000118
22/07/2010;0.000101;0.000118
23/07/2010;0.000050;0.000059
24/07/2010;0.000050;0.000059
25/07/2010;0.000050;0.000059
26/07/2010;0.000101;0.000118
27/07/2010;0.000101;0.000118
28/07/2010;0.000101;0.000118
29/07/2010;0.000101;0.000118
30/07/2010;0.000101;0.000118
31/07/2010;0.000050;0.000059
01/08/2010;0.000000;0.000000
02/08/2010;0.000101;0.000118
03/08/2010;0.000101;0.000118
04/08/2010;0.000101;0.000118
05/08/2010;0.000101;0.000118
07/08/2010;0.000050;0.000059
08/08/2010;0.000050;0.000059
09/08/2010;0.000101;0.000118
10/08/2010;0.000101;0.000118
11/08/2010;0.000101;0.000118
12/08/2010;0.000050;0.000059
16/08/2010;0.000050;0.000059
17/08/2010;0.000050;0.000059
18/08/2010;0.000050;0.000059
19/08/2010;0.000050;0.000059
20/08/2010;0.000050;0.000059
21/08/2010;0.000050;0.000059
22/08/2010;0.000050;0.000059
23/08/2010;0.000101;0.000118
24/08/2010;0.000050;0.000059
25/08/2010;0.000151;0.000177
27/08/2010;0.000101;0.000118
28/08/2010;0.000050;0.000059
29/08/2010;0.000000;0.000000
30/08/2010;0.000050;0.000059
31/08/2010;0.000050;0.000059
01/09/2010;0.000101;0.000118
02/09/2010;0.000151;0.000177
03/09/2010;0.000101;0.000118
04/09/2010;0.000050;0.000059
05/09/2010;0.000050;0.000059
06/09/2010;0.000101;0.000118
07/09/2010;0.000151;0.000177
08/09/2010;0.000151;0.000177
09/09/2010;0.000101;0.000118
10/09/2010;0.000101;0.000118
11/09/2010;0.000101;0.000118
13/09/2010;0.000050;0.000059
14/09/2010;0.000151;0.000177
15/09/2010;0.000050;0.000059
16/09/2010;0.000101;0.000118
17/09/2010;0.000101;0.000118
19/09/2010;0.000050;0.000059
20/09/2010;0.000101;0.000118
21/09/2010;0.000101;0.000118
22/09/2010;0.000151;0.000177
23/09/2010;0.000151;0.000177
24/09/2010;0.000101;0.000118
25/09/2010;0.000050;0.000059
26/09/2010;0.000050;0.000059
27/09/2010;0.000151;0.000177
28/09/2010;0.000101;0.000118
29/09/2010;0.000101;0.000118
30/09/2010;0.000151;0.000177
01/10/2010;0.000101;0.000118
02/10/2010;0.000050;0.000059
03/10/2010;0.000050;0.000059
04/10/2010;0.000050;0.000059
05/10/2010;0.000151;0.000177
06/10/2010;0.000050;0.000059
07/10/2010;0.000101;0.000118
08/10/2010;0.000101;0.000118
09/10/2010;0.000050;0.000059
10/10/2010;0.000050;0.000059
11/10/2010;0.000151;0.000177
12/10/2010;0.000151;0.000177
13/10/2010;0.000151;0.000177
14/10/2010;0.000050;0.000059
15/10/2010;0.000151;0.000177
16/10/2010;0.000000;0.000000
17/10/2010;0.000050;0.000059
18/10/2010;0.000101;0.000118
19/10/2010;0.000050;0.000059
20/10/2010;0.000101;0.000118
21/10/2010;0.000101;0.000118
22/10/2010;0.000101;0.000118
23/10/2010;0.000050;0.000059
24/10/2010;0.000050;0.000059
25/10/2010;0.000050;0.000059
26/10/2010;0.000050;0.000059
27/10/2010;0.000101;0.000118
28/10/2010;0.000101;0.000118
29/10/2010;0.000101;0.000118
30/10/2010;0.000050;0.000059
31/10/2010;0.000050;0.000059
01/11/2010;0.000050;0.000059
02/11/2010;0.000050;0.000059
03/11/2010;0.000101;0.000118
05/11/2010;0.000101;0.000118
06/11/2010;0.000000;0.000000
07/11/2010;0.000000;0.000000
08/11/2010;0.000101;0.000118
09/11/2010;0.000050;0.000059
10/11/2010;0.000050;0.000059
11/11/2010;0.000101;0.000118
12/11/2010;0.000101;0.000118
13/11/2010;0.000101;0.000118
14/11/2010;0.000050;0.000059
15/11/2010;0.000050;0.000059
17/11/2010;0.000101;0.000118
18/11/2010;0.000101;0.000118
19/11/2010;0.000101;0.000118
20/11/2010;0.000050;0.000059
21/11/2010;0.000050;0.000059
22/11/2010;0.000101;0.000118
23/11/2010;0.000101;0.000118
24/11/2010;0.000101;0.000118
25/11/2010;0.000101;0.000118
26/11/2010;0.000101;0.000118
27/11/2010;0.000050;0.000059
28/11/2010;0.000050;0.000059
29/11/2010;0.000050;0.000059
30/11/2010;0.000101;0.000118
01/12/2010;0.000151;0.000177
02/12/2010;0.000101;0.000118
03/12/2010;0.000101;0.000118
04/12/2010;0.000050;0.000059
06/12/2010;0.000151;0.000177
07/12/2010;0.000101;0.000118
08/12/2010;0.000101;0.000118
09/12/2010;0.000101;0.000118
10/12/2010;0.000050;0.000059
11/12/2010;0.000050;0.000059
12/12/2010;0.000050;0.000059
13/12/2010;0.000151;0.000177
14/12/2010;0.000151;0.000177
16/12/2010;0.000101;0.000118
17/12/2010;0.000101;0.000118
18/12/2010;0.000000;0.000000
19/12/2010;0.000000;0.000000
20/12/2010;0.000101;0.000118
21/12/2010;0.000101;0.000118
22/12/2010;0.000101;0.000118
23/12/2010;0.000101;0.000118
24/12/2010;0.000101;0.000118
25/12/2010;0.000101;0.000118
26/12/2010;0.000050;0.000059
27/12/2010;0.000151;0.000177
28/12/2010;0.000101;0.000118
29/12/2010;0.000101;0.000118
30/12/2010;0.000151;0.000177
02/01/2011;0.000101;0.000123
03/01/2011;0.000202;0.000245
04/01/2011;0.000302;0.000368
05/01/2011;0.000202;0.000245
06/01/2011;0.000252;0.000307
07/01/2011;0.000252;0.000307
08/01/2011;0.000101;0.000123
09/01/2011;0.000050;0.000061
10/01/2011;0.000302;0.000368
11/01/2011;0.000252;0.000307
12/01/2011;0.000151;0.000184
13/01/2011;0.000202;0.000245
14/01/2011;0.000202;0.000245
15/01/2011;0.000151;0.000184
16/01/2011;0.000101;0.000123
17/01/2011;0.000302;0.000368
18/01/2011;0.000202;0.000245
19/01/2011;0.000151;0.000184
20/01/2011;0.000202;0.000245
21/01/2011;0.000202;0.000245
22/01/2011;0.000050;0.000061
23/01/2011;0.000101;0.000123
24/01/2011;0.000202;0.000245
25/01/2011;0.000302;0.000368
26/01/2011;0.000252;0.000307
27/01/2011;0.000202;0.000245
28/01/2011;0.000151;0.000184
29/01/2011;0.000101;0.000123
30/01/2011;0.000050;0.000061
01/02/2011;0.000202;0.000245
02/02/2011;0.000202;0.000245
03/02/2011;0.000252;0.000307
04/02/2011;0.000202;0.000245
05/02/2011;0.000151;0.000184
06/02/2011;0.000101;0.000123
07/02/2011;0.000302;0.000368
08/02/2011;0.000252;0.000307
09/02/2011;0.000353;0.000429
10/02/2011;0.000302;0.000368
11/02/2011;0.000252;0.000307
12/02/2011;0.000151;0.000184
13/02/2011;0.000101;0.000123
14/02/2011;0.000202;0.000245
15/02/2011;0.000202;0.000245
16/02/2011;0.000252;0.000307
17/02/2011;0.000202;0.000245
18/02/2011;0.000302;0.000368
19/02/2011;0.000151;0.000184
20/02/2011;0.000151;0.000184
21/02/2011;0.000302;0.000368
22/02/2011;0.000202;0.000245
23/02/2011;0.000202;0.000245
24/02/2011;0.000252;0.000307
25/02/2011;0.000151;0.000184
26/02/2011;0.000101;0.000123
27/02/2011;0.000202;0.000245
28/02/2011;0.000252;0.000307
01/03/2011;0.000151;0.000184
02/03/2011;0.000101;0.000123
03/03/2011;0.000151;0.000184
04/03/2011;0.000101;0.000123
05/03/2011;0.000050;0.000061
06/03/2011;0.000050;0.000061
08/03/2011;0.000202;0.000245
09/03/2011;0.000151;0.000184
11/03/2011;0.000101;0.000123
12/03/2011;0.000050;0.000061
13/03/2011;0.000050;0.000061
14/03/2011;0.000151;0.000184
15/03/2011;0.000101;0.000123
16/03/2011;0.000151;0.000184
17/03/2011;0.000151;0.000184
18/03/2011;0.000151;0.000184
19/03/2011;0.000050;0.000061
20/03/2011;0.000050;0.000061
21/03/2011;0.000050;0.000061
22/03/2011;0.000151;0.000184
23/03/2011;0.000151;0.000184
24/03/2011;0.000202;0.000245
25/03/2011;0.000101;0.000123
26/03/2011;0.000000;0.000000
27/03/2011;0.000050;0.000061
28/03/2011;0.000101;0.000123
29/03/2011;0.000101;0.000123
30/03/2011;0.000101;0.000123
31/03/2011;0.000101;0.000123
01/04/2011;0.000101;0.000123
02/04/2011;0.000050;0.000061
03/04/2011;0.000050;0.000061
04/04/2011;0.000101;0.000123
05/04/2011;0.000050;0.000061
06/04/2011;0.000050;0.000061
07/04/2011;0.000050;0.000061
08/04/2011;0.000101;0.000123
09/04/2011;0.000000;0.000000
10/04/2011;0.000050;0.000061
11/04/2011;0.000101;0.000123
12/04/2011;0.000101;0.000123
15/04/2011;0.000050;0.000061
16/04/2011;0.000000;0.000000
17/04/2011;0.000050;0.000061
18/04/2011;0.000101;0.000123
19/04/2011;0.000101;0.000123
20/04/2011;0.000050;0.000061
21/04/2011;0.000101;0.000123
22/04/2011;0.000050;0.000061
23/04/2011;0.000050;0.000061
24/04/2011;0.000050;0.000061
25/04/2011;0.000050;0.000061
26/04/2011;0.000050;0.000061
27/04/2011;0.000101;0.000123
28/04/2011;0.000151;0.000184
30/04/2011;0.000000;0.000000
01/05/2011;0.000000;0.000000
06/05/2011;0.000101;0.000123
07/05/2011;0.000050;0.000061
08/05/2011;0.000050;0.000061
09/05/2011;0.000050;0.000061
10/05/2011;0.000050;0.000061
11/05/2011;0.000151;0.000184
12/05/2011;0.000151;0.000184
13/05/2011;0.000101;0.000123
14/05/2011;0.000050;0.000061
15/05/2011;0.000050;0.000061
16/05/2011;0.000151;0.000184
17/05/2011;0.000101;0.000123
19/05/2011;0.000101;0.000123
20/05/2011;0.000101;0.000123
21/05/2011;0.000050;0.000061
22/05/2011;0.000050;0.000061
23/05/2011;0.000101;0.000123
24/05/2011;0.000101;0.000123
25/05/2011;0.000151;0.000184
26/05/2011;0.000101;0.000123
27/05/2011;0.000050;0.000061
28/05/2011;0.000050;0.000061
30/05/2011;0.000050;0.000061
31/05/2011;0.000151;0.000184
01/06/2011;0.000202;0.000245
02/06/2011;0.000101;0.000123
03/06/2011;0.000101;0.000123
04/06/2011;0.000101;0.000123
05/06/2011;0.000151;0.000184
07/06/2011;0.000151;0.000184
08/06/2011;0.000202;0.000245
09/06/2011;0.000151;0.000184
12/06/2011;0.000101;0.000123
13/06/2011;0.000202;0.000245
14/06/2011;0.000151;0.000184
15/06/2011;0.000151;0.000184
16/06/2011;0.000151;0.000184
17/06/2011;0.000151;0.000184
18/06/2011;0.000101;0.000123
19/06/2011;0.000101;0.000123
20/06/2011;0.000101;0.000123
21/06/2011;0.000202;0.000245
22/06/2011;0.000202;0.000245
23/06/2011;0.000101;0.000123
25/06/2011;0.000050;0.000061
26/06/2011;0.000050;0.000061
27/06/2011;0.000202;0.000245
28/06/2011;0.000202;0.000245
29/06/2011;0.000202;0.000245
01/07/2011;0.000302;0.000368
02/07/2011;0.000101;0.000123
03/07/2011;0.000101;0.000123
04/07/2011;0.000302;0.000368
05/07/2011;0.000302;0.000368
06/07/2011;0.000202;0.000245
07/07/2011;0.000202;0.000245
08/07/2011;0.000252;0.000307
09/07/2011;0.000101;0.000123
10/07/2011;0.000101;0.000123
11/07/2011;0.000302;0.000368
12/07/2011;0.000302;0.000368
13/07/2011;0.000302;0.000368
14/07/2011;0.000202;0.000245
15/07/2011;0.000202;0.000245
16/07/2011;0.000101;0.000123
17/07/2011;0.000101;0.000123
18/07/2011;0.000151;0.000184
20/07/2011;0.000202;0.000245
22/07/2011;0.000252;0.000307
24/07/2011;0.000252;0.000307
25/07/2011;0.000252;0.000307
26/07/2011;0.000252;0.000307
27/07/2011;0.000353;0.000429
29/07/2011;0.000252;0.000307
30/07/2011;0.000101;0.000123
31/07/2011;0.000101;0.000123
01/08/2011;0.000353;0.000429
02/08/2011;0.000151;0.000184
03/08/2011;0.000302;0.000368
04/08/2011;0.000302;0.000368
05/08/2011;0.000202;0.000245
06/08/2011;0.000050;0.000061
07/08/2011;0.000101;0.000123
08/08/2011;0.000202;0.000245
09/08/2011;0.000202;0.000245
10/08/2011;0.000302;0.000368
11/08/2011;0.000202;0.000245
12/08/2011;0.000302;0.000368
16/08/2011;0.000202;0.000245
17/08/2011;0.000252;0.000307
18/08/2011;0.000302;0.000368
19/08/2011;0.000302;0.000368
20/08/2011;0.000101;0.000123
21/08/2011;0.000202;0.000245
22/08/2011;0.000252;0.000307
23/08/2011;0.000302;0.000368
24/08/2011;0.000202;0.000245
25/08/2011;0.000202;0.000245
26/08/2011;0.000302;0.000368
27/08/2011;0.000101;0.000123
28/08/2011;0.000151;0.000184
30/08/2011;0.000302;0.000368
31/08/2011;0.000202;0.000245
01/09/2011;0.000302;0.000368
02/09/2011;0.000403;0.000491
03/09/2011;0.000151;0.000184
04/09/2011;0.000252;0.000307
05/09/2011;0.000353;0.000429
07/09/2011;0.000302;0.000368
08/09/2011;0.000353;0.000429
09/09/2011;0.000302;0.000368
10/09/2011;0.000202;0.000245
11/09/2011;0.000151;0.000184
12/09/2011;0.000403;0.000491
13/09/2011;0.000353;0.000429
14/09/2011;0.000403;0.000491
15/09/2011;0.000252;0.000307
16/09/2011;0.000302;0.000368
17/09/2011;0.000202;0.000245
18/09/2011;0.000101;0.000123
19/09/2011;0.000202;0.000245
20/09/2011;0.000302;0.000368
21/09/2011;0.000252;0.000307
22/09/2011;0.000302;0.000368
23/09/2011;0.000454;0.000552
24/09/2011;0.000202;0.000245
25/09/2011;0.000302;0.000368
26/09/2011;0.000353;0.000429
27/09/2011;0.000353;0.000429
